央视频道,#genre#
辽宁卫视HD,http://125.34.185.54:10000/rtp/239.3.1.210:8056
湖北卫视HD,http://125.34.185.54:10000/rtp/239.3.1.138:8044
吉林卫视HD,http://125.34.185.54:10000/rtp/239.3.1.240:8172
贵州卫视HD,http://125.34.185.54:10000/rtp/239.3.1.149:8076
东南卫视HD,http://125.34.185.54:10000/rtp/239.3.1.156:8148
江西卫视HD,http://125.34.185.54:10000/rtp/239.3.1.123:8164
海南卫视,http://125.34.185.54:10000/rtp/239.3.1.45:8304
云南卫视,http://125.34.185.54:10000/rtp/239.3.1.26:8108
兵团卫视,http://125.34.185.54:10000/rtp/239.3.1.144:4120
厦门卫视,http://125.34.185.54:10000/rtp/239.3.1.143:4120
四川卫视,http://125.34.185.54:10000/rtp/239.3.1.29:8288
南方卫视,http://125.34.185.54:10000/rtp/239.3.1.161:8001
宁夏卫视,http://125.34.185.54:10000/rtp/239.3.1.46:8124
山西卫视,http://125.34.185.54:10000/rtp/239.3.1.42:8172
广西卫视,http://125.34.185.54:10000/rtp/239.3.1.39:8300
新疆卫视,http://125.34.185.54:10000/rtp/239.3.1.48:8160
河南卫视,http://125.34.185.54:10000/rtp/239.3.1.27:8128
甘肃卫视,http://125.34.185.54:10000/rtp/239.3.1.49:8188
西藏卫视,http://125.34.185.54:10000/rtp/239.3.1.47:8164
三沙卫视,http://125.34.185.54:10000/rtp/239.3.1.155:4120
陕西卫视,http://125.34.185.54:10000/rtp/239.3.1.41:8140
青海卫视,http://125.34.185.54:10000/rtp/239.3.1.44:8184
内蒙古卫视,http://125.34.185.54:10000/rtp/239.3.1.43:8176
电影,#genre#
爱上4K[超清],http://125.34.185.54:10000/rtp/239.3.1.236:2000
4K超清[超清],http://125.34.185.54:10000/rtp/239.3.1.249:8001
淘电影HD,http://125.34.185.54:10000/rtp/239.3.1.250:8001
每日影院HD,http://125.34.185.54:10000/#rtp/239.3.1.111:8001
星影,http://125.34.185.54:10000/rtp/239.3.1.94:4120
动作影院,http://125.34.185.54:10000/rtp/239.3.1.92:4120
光影,http://125.34.185.54:10000/rtp/239.3.1.84:4120
喜剧影院,http://125.34.185.54:10000/rtp/239.3.1.91:4120
家庭影院,http://125.34.185.54:10000/rtp/239.3.1.93:4120
精选,http://125.34.185.54:10000/rtp/239.3.1.74:4120
经典电影,http://125.34.185.54:10000/rtp/239.3.1.195:9024
其他,#genre#
纪实人文 HD,http://125.34.185.54:10000/rtp/239.3.1.212:8060
金鹰纪实 HD,http://125.34.185.54:10000/rtp/239.3.1.58:8156
风尚生活 HD,http://125.34.185.54:10000/#rtp/239.3.1.114:8001
地理,http://125.34.185.54:10000/rtp/239.3.1.71:4120
淘剧场 HD,http://125.34.185.54:10000/rtp/239.3.1.95:8001
幸福剧场HD,http://125.34.185.54:10000/#rtp/239.3.1.112:8001
淘娱乐HD,http://125.34.185.54:10000/rtp/239.3.1.100:8001
幸福娱乐 HD,http://125.34.185.54:10000/#rtp/239.3.1.113:8001
淘BabyHD,http://125.34.185.54:10000/rtp/239.3.1.238:8001
萌宠TVHD,http://125.34.185.54:10000/rtp/239.3.1.102:8001
中国交通HD,http://125.34.185.54:10000/rtp/239.3.1.188:8001
朝阳融媒HD,http://125.34.185.54:10000/rtp/239.3.1.163:8001
通州融媒HD,http://125.34.185.54:10000/rtp/239.3.1.221:8001
密云电视台HD,http://125.34.185.54:10000/rtp/239.3.1.154:8001
延庆电视台,http://125.34.185.54:10000/rtp/239.3.1.187:8001
房山电视台,http://125.34.185.54:10000/rtp/239.3.1.96:8001
CCTV-4中文国际欧洲HD,http://125.34.185.54:10000/rtp/239.3.1.213:4220
CCTV-4中文国际美洲HD,http://125.34.185.54:10000/rtp/239.3.1.214:4220
CGTN新闻HD,http://125.34.185.54:10000/rtp/239.3.1.215:4220
CGTN记录HD,http://125.34.185.54:10000/rtp/239.3.1.216:4220
CGTN西班牙语HD,http://125.34.185.54:10000/rtp/239.3.1.217:4220
CGTN法语HD,http://125.34.185.54:10000/rtp/239.3.1.218:4220
CGTN阿拉伯语HD,http://125.34.185.54:10000/rtp/239.3.1.219:4220
CGTN俄语HD,http://125.34.185.54:10000/rtp/239.3.1.220:4220
睛彩竞技HD,http://125.34.185.54:10000/rtp/239.3.1.125:8001
睛彩篮球HD,http://125.34.185.54:10000/rtp/239.3.1.126:8001
睛彩羽毛球HD,http://125.34.185.54:10000/rtp/239.3.1.127:8001
睛彩广场舞HD,http://125.34.185.54:10000/rtp/239.3.1.128:8001
茶频道HD,http://125.34.185.54:10000/rtp/239.3.1.165:8001
体育赛事HD,http://125.34.185.54:10000/rtp/239.3.1.157:8176
淘精彩HD,http://125.34.185.54:10000/rtp/239.3.1.178:8001
快乐垂钓HD,http://125.34.185.54:10000/rtp/239.3.1.164:8001
大健康HD,http://125.34.185.54:10000/rtp/239.3.1.251:8001
CETV1HD,http://125.34.185.54:10000/rtp/239.3.1.57:8152
CETV2,http://125.34.185.54:10000/rtp/239.3.1.54:4120
CETV3,http://125.34.185.54:10000/rtp/239.3.1.55:4120
